,Qvalue,action,light,oncoming,waypoint
0,3.43550481545,parado,red,parado,right
1,-7.97516844809,left,red,parado,right
2,0.50468939616,right,red,parado,right
3,-7.94615844629,forward,red,parado,right
4,2.26934494604,parado,red,left,right
5,-23.3149742573,left,red,left,right
6,0.506782768309,right,red,left,right
7,-8.52743822216,forward,red,left,right
8,1.66599490396,parado,green,left,right
9,2.03505122118,left,green,left,right
10,0.503100059351,right,green,left,right
11,1.85668334655,forward,green,left,right
12,-3.21071732331,parado,green,forward,right
13,-15.653218631,left,green,forward,right
14,3.41662947199,right,green,forward,right
15,1.68040307254,forward,green,forward,right
16,-3.58954051274,parado,green,parado,right
17,1.46580799234,left,green,parado,right
18,0.505946616963,right,green,parado,right
19,0.97084857022,forward,green,parado,right
20,2.78976161623,parado,red,right,right
21,0.509817188837,left,red,right,right
22,0.506128016161,right,red,right,right
23,-11.3758388692,forward,red,right,right
24,3.60043028747,parado,red,forward,left
25,-3.61907656036,left,red,forward,left
26,0.509951379755,right,red,forward,left
27,-6.97468835481,forward,red,forward,left
28,3.43442761808,parado,red,left,left
29,-16.213777901,left,red,left,left
30,0.502454639583,right,red,left,left
31,-26.8625725443,forward,red,left,left
32,0.507875406104,parado,green,left,left
33,3.19406894454,left,green,left,left
34,0.507278646429,right,green,left,left
35,0.842504578632,forward,green,left,left
36,2.31328947662,parado,red,parado,forward
37,-24.7214339805,left,red,parado,forward
38,0.503893258372,right,red,parado,forward
39,-24.7046448141,forward,red,parado,forward
40,2.28153739034,parado,green,left,forward
41,2.38856866863,left,green,left,forward
42,0.509574368496,right,green,left,forward
43,3.46489123477,forward,green,left,forward
44,-2.33566238583,parado,green,right,right
45,-13.273325449,left,green,right,right
46,0.505263813817,right,green,right,right
47,2.1932533753,forward,green,right,right
48,-3.43966693796,parado,green,parado,left
49,2.97362258251,left,green,parado,left
50,0.501063101201,right,green,parado,left
51,1.70533263438,forward,green,parado,left
52,-3.83477058648,parado,green,forward,forward
53,-17.9536782937,left,green,forward,forward
54,0.27703836155,right,green,forward,forward
55,3.96901902203,forward,green,forward,forward
56,3.52226527979,parado,red,left,forward
57,-9.86640305992,left,red,left,forward
58,0.501740234058,right,red,left,forward
59,-33.9513402225,forward,red,left,forward
60,3.37579735327,parado,red,parado,left
61,-19.5196413626,left,red,parado,left
62,0.503711909697,right,red,parado,left
63,-31.3159222543,forward,red,parado,left
64,-2.66681058713,parado,green,forward,left
65,-18.6079383604,left,green,forward,left
66,0.504607956899,right,green,forward,left
67,1.6578746307,forward,green,forward,left
68,-3.85724343661,parado,green,parado,forward
69,1.93047861985,left,green,parado,forward
70,0.507346907559,right,green,parado,forward
71,3.84968007309,forward,green,parado,forward
72,4.17726107582,parado,red,forward,right
73,-23.7570491706,left,red,forward,right
74,1.1767903158,right,red,forward,right
75,-11.1761299168,forward,red,forward,right
76,-1.37962886261,parado,green,right,forward
77,0.501398602028,left,green,right,forward
78,0.504395045022,right,green,right,forward
79,3.40116402621,forward,green,right,forward
80,2.95379910693,parado,red,right,forward
81,0.507862743126,left,red,right,forward
82,0.505445577406,right,red,right,forward
83,-22.8123800462,forward,red,right,forward
84,3.46501313279,parado,red,right,left
85,-18.507982977,left,red,right,left
86,0.502070375264,right,red,right,left
87,0.505605010691,forward,red,right,left
88,2.50050241064,parado,red,forward,forward
89,-7.17451853363,left,red,forward,forward
90,0.502119627754,right,red,forward,forward
91,-19.1873531719,forward,red,forward,forward
92,0.50582250323,parado,green,right,left
93,0.502535321309,left,green,right,left
94,0.506273840295,right,green,right,left
95,1.96740865023,forward,green,right,left
