,Qvalue,action,light,oncoming,waypoint
0,1.74925231673,parado,red,forward,left
1,-23.7329449365,left,red,forward,left
2,0.508561133547,right,red,forward,left
3,-5.15183895441,forward,red,forward,left
4,-3.42504865244,parado,green,forward,left
5,-10.1233583253,left,green,forward,left
6,0.0132679608071,right,green,forward,left
7,0.427353372618,forward,green,forward,left
8,-4.5296733383,parado,green,parado,left
9,2.4580026295,left,green,parado,left
10,0.503815306153,right,green,parado,left
11,0.0205702956439,forward,green,parado,left
12,0.504147715478,parado,green,left,left
13,1.64250660221,left,green,left,left
14,0.507992684842,right,green,left,left
15,1.23091246362,forward,green,left,left
16,0.165914325207,parado,green,left,right
17,0.406999688542,left,green,left,right
18,0.50423946088,right,green,left,right
19,0.477903552967,forward,green,left,right
20,-2.12972536466,parado,green,forward,right
21,-9.92353710706,left,green,forward,right
22,1.47341359654,right,green,forward,right
23,0.301092901485,forward,green,forward,right
24,2.16822923153,parado,red,parado,right
25,-11.6123228718,left,red,parado,right
26,-9.30879265579,right,red,parado,right
27,-31.7520377897,forward,red,parado,right
28,-4.60694743079,parado,green,parado,right
29,0.362361314178,left,green,parado,right
30,1.89850316531,right,green,parado,right
31,0.924908998649,forward,green,parado,right
32,2.07941515592,parado,red,parado,left
33,-8.98936912762,left,red,parado,left
34,0.507630849594,right,red,parado,left
35,-10.7973385633,forward,red,parado,left
36,2.69035303657,parado,red,left,forward
37,-15.0653708549,left,red,left,forward
38,0.509884198386,right,red,left,forward
39,-8.80267822679,forward,red,left,forward
40,0.826289520607,parado,green,left,forward
41,0.0734797951704,left,green,left,forward
42,0.503566581102,right,green,left,forward
43,1.69668869641,forward,green,left,forward
44,1.64799562145,parado,red,left,right
45,-4.33954370362,left,red,left,right
46,-9.66696042371,right,red,left,right
47,-19.4812918131,forward,red,left,right
48,-4.51424385576,parado,green,parado,forward
49,1.13432884071,left,green,parado,forward
50,0.501165883711,right,green,parado,forward
51,1.81252939178,forward,green,parado,forward
52,1.92414966453,parado,red,forward,right
53,0.502147339748,left,red,forward,right
54,0.506775220431,right,red,forward,right
55,0.501420165813,forward,red,forward,right
56,1.6691609207,parado,red,right,right
57,0.502148877961,left,red,right,right
58,-10.1232599905,right,red,right,right
59,-4.32913870312,forward,red,right,right
60,-3.61605241077,parado,green,right,right
61,-9.32063609208,left,green,right,right
62,0.501654559802,right,green,right,right
63,0.702794739583,forward,green,right,right
64,2.45521073149,parado,red,parado,forward
65,-13.4014402873,left,red,parado,forward
66,0.501660359635,right,red,parado,forward
67,-10.1798651782,forward,red,parado,forward
68,-4.56767707406,parado,green,forward,forward
69,-14.7169132873,left,green,forward,forward
70,0.505580555881,right,green,forward,forward
71,1.2215973011,forward,green,forward,forward
72,1.44384975307,parado,red,right,left
73,0.50075259826,left,red,right,left
74,0.507966635576,right,red,right,left
75,0.501782447425,forward,red,right,left
76,0.50070218335,parado,green,right,left
77,0.501687725346,left,green,right,left
78,0.76243119028,right,green,right,left
79,0.139434859582,forward,green,right,left
80,2.29228994125,parado,red,forward,forward
81,-19.7800752356,left,red,forward,forward
82,0.501176439396,right,red,forward,forward
83,-30.172361888,forward,red,forward,forward
84,1.71924610304,parado,red,right,forward
85,-19.8975570733,left,red,right,forward
86,0.313191274104,right,red,right,forward
87,-4.65764209919,forward,red,right,forward
88,1.75812717408,parado,red,left,left
89,0.50595313051,left,red,left,left
90,0.507134005344,right,red,left,left
91,0.505980841274,forward,red,left,left
92,0.502454540117,parado,green,right,forward
93,-9.37629514803,left,green,right,forward
94,1.15743127782,right,green,right,forward
95,0.500116158093,forward,green,right,forward
