,Qvalue,action,light,oncoming,waypoint
0,4.41205455122,parado,red,left,right
1,-7.91621356425,left,red,left,right
2,2.00827236831,right,red,left,right
3,-24.2964084776,forward,red,left,right
4,1.85413333388,parado,green,left,right
5,2.93428732071,left,green,left,right
6,2.00737992655,right,green,left,right
7,1.86175460911,forward,green,left,right
8,-0.372441252613,parado,green,right,right
9,-8.73483704123,left,green,right,right
10,3.13238567977,right,green,right,right
11,1.6386956762,forward,green,right,right
12,-3.41820755035,parado,green,parado,right
13,1.38392636996,left,green,parado,right
14,3.85227833863,right,green,parado,right
15,2.76421327024,forward,green,parado,right
16,4.11802307045,parado,red,parado,right
17,-17.6391628012,left,red,parado,right
18,2.00086713898,right,red,parado,right
19,-12.5534802572,forward,red,parado,right
20,4.53665079855,parado,red,forward,right
21,-6.90498411789,left,red,forward,right
22,2.00876656121,right,red,forward,right
23,-7.62130619318,forward,red,forward,right
24,-2.15385776398,parado,green,forward,right
25,-16.3986708915,left,green,forward,right
26,3.40537263808,right,green,forward,right
27,2.37752185867,forward,green,forward,right
28,2.5409828508,parado,red,forward,left
29,-5.85412919899,left,red,forward,left
30,1.94379749639,right,red,forward,left
31,-5.76774946404,forward,red,forward,left
32,-2.74834437644,parado,green,forward,left
33,-12.9859837088,left,green,forward,left
34,1.7282999942,right,green,forward,left
35,1.44631689305,forward,green,forward,left
36,2.2733486909,parado,green,left,forward
37,2.28488628183,left,green,left,forward
38,2.00027531163,right,green,left,forward
39,3.75741271659,forward,green,left,forward
40,3.54402480526,parado,red,parado,forward
41,-11.5313084703,left,red,parado,forward
42,2.004584066,right,red,parado,forward
43,-10.1778223357,forward,red,parado,forward
44,3.38622192193,parado,red,right,forward
45,-27.7375474174,left,red,right,forward
46,2.00190231205,right,red,right,forward
47,-20.9729498167,forward,red,right,forward
48,-3.75046029381,parado,green,parado,forward
49,2.25396001163,left,green,parado,forward
50,2.00508329788,right,green,parado,forward
51,3.76819847124,forward,green,parado,forward
52,-2.17041054527,parado,green,right,forward
53,-13.2504266574,left,green,right,forward
54,2.00719892034,right,green,right,forward
55,3.27839707351,forward,green,right,forward
56,3.05893813017,parado,red,right,left
57,-28.2813354653,left,red,right,left
58,2.00499063629,right,red,right,left
59,-3.30700304472,forward,red,right,left
60,-3.06656424354,parado,green,parado,left
61,3.23668799159,left,green,parado,left
62,1.25780582836,right,green,parado,left
63,2.91290175738,forward,green,parado,left
64,3.57244137702,parado,red,left,forward
65,-8.98160361373,left,red,left,forward
66,2.00115439344,right,red,left,forward
67,-10.4624821819,forward,red,left,forward
68,3.6694028594,parado,red,left,left
69,-5.59066867409,left,red,left,left
70,2.00353752738,right,red,left,left
71,-7.83290843042,forward,red,left,left
72,1.99773535535,parado,green,left,left
73,3.13094350691,left,green,left,left
74,2.00617651278,right,green,left,left
75,2.43096439442,forward,green,left,left
76,-0.629191215134,parado,green,forward,forward
77,-13.0695224257,left,green,forward,forward
78,2.00953532887,right,green,forward,forward
79,4.30586821073,forward,green,forward,forward
80,3.77764743923,parado,red,parado,left
81,-15.3571208537,left,red,parado,left
82,2.005414662,right,red,parado,left
83,-7.73404844878,forward,red,parado,left
84,3.4803573446,parado,red,right,right
85,-17.9931827869,left,red,right,right
86,2.00982341905,right,red,right,right
87,-11.3209404013,forward,red,right,right
88,3.52236108168,parado,red,forward,forward
89,-9.56901335142,left,red,forward,forward
90,2.00363482534,right,red,forward,forward
91,-27.9974747078,forward,red,forward,forward
92,-0.174785261162,parado,green,right,left
93,-8.19770504039,left,green,right,left
94,2.12757415327,right,green,right,left
95,1.94544243391,forward,green,right,left
