,Qvalue,action,light,oncoming,waypoint
0,-5.52921861046,parado,green,parado,right
1,0.922476486698,left,green,parado,right
2,1.6572805119,right,green,parado,right
3,0.702632776319,forward,green,parado,right
4,1.52476134502,parado,red,parado,right
5,-17.9721231779,left,red,parado,right
6,-9.02388453092,right,red,parado,right
7,-10.8901338928,forward,red,parado,right
8,1.6386683422,parado,red,right,right
9,-29.3555753862,left,red,right,right
10,1.37525145559,right,red,right,right
11,-6.83858615216,forward,red,right,right
12,0.354536622761,parado,green,left,right
13,0.201094994819,left,green,left,right
14,1.80862654822,right,green,left,right
15,0.87476035318,forward,green,left,right
16,1.5020067367,parado,red,forward,right
17,-12.9788479729,left,red,forward,right
18,1.89806259507,right,red,forward,right
19,-9.18519601871,forward,red,forward,right
20,-4.56039269618,parado,green,forward,right
21,-17.4111812387,left,green,forward,right
22,1.71857552164,right,green,forward,right
23,0.855324903005,forward,green,forward,right
24,-4.83348316403,parado,green,parado,forward
25,0.900872018018,left,green,parado,forward
26,0.775742733722,right,green,parado,forward
27,1.2446078654,forward,green,parado,forward
28,2.01398139193,parado,red,parado,forward
29,-21.8291870483,left,red,parado,forward
30,0.628207484976,right,red,parado,forward
31,-30.0211033921,forward,red,parado,forward
32,1.91271499164,parado,red,forward,forward
33,-17.42719111,left,red,forward,forward
34,-9.47463877871,right,red,forward,forward
35,-10.7957197721,forward,red,forward,forward
36,-5.03318323897,parado,green,forward,forward
37,-19.5123915198,left,green,forward,forward
38,0.567657123341,right,green,forward,forward
39,2.30268218188,forward,green,forward,forward
40,-4.67646582503,parado,green,right,forward
41,-16.9759575847,left,green,right,forward
42,0.931676083166,right,green,right,forward
43,1.89871631859,forward,green,right,forward
44,-5.09983992031,parado,green,parado,left
45,1.64062180272,left,green,parado,left
46,0.634529187647,right,green,parado,left
47,1.16087326617,forward,green,parado,left
48,1.07461035276,parado,green,left,forward
49,0.741207688305,left,green,left,forward
50,1.11359268378,right,green,left,forward
51,2.08291555978,forward,green,left,forward
52,1.84722350175,parado,red,left,left
53,-11.4079576373,left,red,left,left
54,1.13520945498,right,red,left,left
55,-23.5988244634,forward,red,left,left
56,2.18495395646,parado,red,forward,left
57,-19.0659540546,left,red,forward,left
58,0.989108511153,right,red,forward,left
59,-9.22858228152,forward,red,forward,left
60,-1.52541485974,parado,green,forward,left
61,-8.85235353814,left,green,forward,left
62,1.0875532651,right,green,forward,left
63,0.885781532026,forward,green,forward,left
64,1.82884689018,parado,red,parado,left
65,-21.8584462392,left,red,parado,left
66,0.973355607669,right,red,parado,left
67,-9.45991964639,forward,red,parado,left
68,-1.44271824656,parado,green,right,left
69,-8.6394376868,left,green,right,left
70,1.31498359319,right,green,right,left
71,0.639330545786,forward,green,right,left
72,1.99701050564,parado,red,left,right
73,-11.9124085533,left,red,left,right
74,-8.85195525063,right,red,left,right
75,-8.28666140335,forward,red,left,right
76,2.39726443564,parado,red,left,forward
77,-17.9749726564,left,red,left,forward
78,-8.76159306348,right,red,left,forward
79,-14.1001010252,forward,red,left,forward
80,1.25425889232,parado,red,right,left
81,-19.3475126108,left,red,right,left
82,1.24072814478,right,red,right,left
83,-8.99585686107,forward,red,right,left
84,-3.41523295068,parado,green,right,right
85,-8.50292703926,left,green,right,right
86,2.18816556773,right,green,right,right
87,1.80578257587,forward,green,right,right
88,0.732097227197,parado,green,left,left
89,1.96704761067,left,green,left,left
90,1.02490756692,right,green,left,left
91,1.22336917643,forward,green,left,left
92,1.90606882612,parado,red,right,forward
93,-19.372091475,left,red,right,forward
94,1.32156859954,right,red,right,forward
95,-3.55999603667,forward,red,right,forward
