,Qvalue,action,light,oncoming,waypoint
0,0.509321385852,parado,green,parado,right
1,0.50423286449,left,green,parado,right
2,0.500411518285,right,green,parado,right
3,0.508114312448,forward,green,parado,right
4,0.506912658121,parado,red,parado,right
5,0.505837560014,left,red,parado,right
6,0.500108696633,right,red,parado,right
7,0.500738957223,forward,red,parado,right
8,0.507121215674,parado,red,forward,right
9,0.504054994891,left,red,forward,right
10,0.502825074523,right,red,forward,right
11,0.50047761113,forward,red,forward,right
12,0.509074170473,parado,green,forward,right
13,0.500589156161,left,green,forward,right
14,0.502977783191,right,green,forward,right
15,0.50477438995,forward,green,forward,right
16,0.505109779157,parado,green,parado,forward
17,0.508395998659,left,green,parado,forward
18,0.502967022707,right,green,parado,forward
19,0.505304198658,forward,green,parado,forward
20,0.50495772197,parado,green,left,right
21,0.505607594831,left,green,left,right
22,0.507506736567,right,green,left,right
23,0.507488720329,forward,green,left,right
24,0.501434206506,parado,green,parado,left
25,0.502883301838,left,green,parado,left
26,0.500403056214,right,green,parado,left
27,0.508125896112,forward,green,parado,left
28,0.5054956203,parado,green,left,left
29,0.5052480921,left,green,left,left
30,0.500804727139,right,green,left,left
31,0.507263853374,forward,green,left,left
32,0.500823712,parado,red,forward,left
33,0.506422128611,left,red,forward,left
34,0.509894572109,right,red,forward,left
35,0.505843126948,forward,red,forward,left
36,0.502584494464,parado,green,forward,left
37,0.502652125675,left,green,forward,left
38,0.507902499144,right,green,forward,left
39,0.501636626933,forward,green,forward,left
40,0.50778666641,parado,red,parado,left
41,0.50162635172,left,red,parado,left
42,0.507180656769,right,red,parado,left
43,0.50629141068,forward,red,parado,left
44,0.506408718237,parado,red,left,left
45,0.506837197982,left,red,left,left
46,0.502420289685,right,red,left,left
47,0.500759322164,forward,red,left,left
48,0.503325447275,parado,green,right,right
49,0.509065399855,left,green,right,right
50,0.509057627382,right,green,right,right
51,0.50655376295,forward,green,right,right
52,0.500199241375,parado,red,left,right
53,0.502720127221,left,red,left,right
54,0.501592144719,right,red,left,right
55,0.500694628949,forward,red,left,right
56,0.505353406946,parado,red,left,forward
57,0.507462641941,left,red,left,forward
58,0.508408522111,right,red,left,forward
59,0.504113486595,forward,red,left,forward
60,0.500455175206,parado,red,right,right
61,0.507685540251,left,red,right,right
62,0.50596445855,right,red,right,right
63,0.505187351664,forward,red,right,right
64,0.501709530901,parado,red,forward,forward
65,0.507575888216,left,red,forward,forward
66,0.501196049776,right,red,forward,forward
67,0.508430028951,forward,red,forward,forward
68,0.502042456182,parado,green,forward,forward
69,0.505915414018,left,green,forward,forward
70,0.508864198928,right,green,forward,forward
71,0.508588766722,forward,green,forward,forward
72,0.502362944447,parado,red,parado,forward
73,0.504840728273,left,red,parado,forward
74,0.500162399343,right,red,parado,forward
75,0.500378151355,forward,red,parado,forward
76,0.509587585876,parado,red,right,forward
77,0.502137082223,left,red,right,forward
78,0.506319326942,right,red,right,forward
79,0.506462348025,forward,red,right,forward
80,0.504071346441,parado,green,left,forward
81,0.503048721261,left,green,left,forward
82,0.508022187905,right,green,left,forward
83,0.503444915474,forward,green,left,forward
84,0.507399625117,parado,red,right,left
85,0.505212997458,left,red,right,left
86,0.503575282434,right,red,right,left
87,0.503920602468,forward,red,right,left
88,0.504081312843,parado,green,right,left
89,0.503185447201,left,green,right,left
90,0.505462460361,right,green,right,left
91,0.50154750071,forward,green,right,left
92,0.506765891139,parado,green,right,forward
93,0.505279064378,left,green,right,forward
94,0.503018909812,right,green,right,forward
95,0.506553471709,forward,green,right,forward
