,Qvalue,action,light,oncoming,waypoint
0,0.502287588514,parado,red,left,left
1,0.508457530909,left,red,left,left
2,0.500696074042,right,red,left,left
3,0.505404732188,forward,red,left,left
4,0.501690585722,parado,green,left,left
5,0.506540711439,left,green,left,left
6,0.506112622048,right,green,left,left
7,0.500836405613,forward,green,left,left
8,0.502071457537,parado,red,parado,left
9,0.50592326212,left,red,parado,left
10,0.506218189837,right,red,parado,left
11,0.500066196125,forward,red,parado,left
12,0.50986713898,parado,green,parado,left
13,0.501235877611,left,green,parado,left
14,0.50382478962,right,green,parado,left
15,0.503647910086,forward,green,parado,left
16,0.506098724791,parado,green,parado,forward
17,0.509713019463,left,green,parado,forward
18,0.508798321067,right,green,parado,forward
19,0.503338393429,forward,green,parado,forward
20,0.502108424218,parado,red,parado,forward
21,0.506626748733,left,red,parado,forward
22,0.50860144539,right,red,parado,forward
23,0.508888428176,forward,red,parado,forward
24,0.500561977904,parado,red,right,forward
25,0.501955864691,left,red,right,forward
26,0.503932253915,right,red,right,forward
27,0.503059937824,forward,red,right,forward
28,0.506334100699,parado,green,forward,right
29,0.50832242045,left,green,forward,right
30,0.506316454807,right,green,forward,right
31,0.504681777591,forward,green,forward,right
32,0.503830895107,parado,green,right,right
33,0.508731998898,left,green,right,right
34,0.507678251398,right,green,right,right
35,0.504901248124,forward,green,right,right
36,0.504417182698,parado,red,parado,right
37,0.508678222796,left,red,parado,right
38,0.507177077232,right,red,parado,right
39,0.50963055375,forward,red,parado,right
40,0.508227470452,parado,red,left,right
41,0.508371512619,left,red,left,right
42,0.503043287195,right,red,left,right
43,0.506351683623,forward,red,left,right
44,0.503113948107,parado,green,left,forward
45,0.503875080682,left,green,left,forward
46,0.50921909696,right,green,left,forward
47,0.507942904852,forward,green,left,forward
48,0.509288312649,parado,red,forward,forward
49,0.509209399988,left,red,forward,forward
50,0.504826903698,right,red,forward,forward
51,0.500689834743,forward,red,forward,forward
52,0.509291561737,parado,green,forward,forward
53,0.504899110549,left,green,forward,forward
54,0.503676049757,right,green,forward,forward
55,0.503150865241,forward,green,forward,forward
56,0.506251579025,parado,green,parado,right
57,0.504323807195,left,green,parado,right
58,0.504013820305,right,green,parado,right
59,0.508118100497,forward,green,parado,right
60,0.501396702197,parado,green,left,right
61,0.504549299558,left,green,left,right
62,0.507342483102,right,green,left,right
63,0.508584854568,forward,green,left,right
64,0.503397494619,parado,red,forward,left
65,0.504877006568,left,red,forward,left
66,0.506268490626,right,red,forward,left
67,0.50095978325,forward,red,forward,left
68,0.500563419129,parado,red,forward,right
69,0.50718059517,left,red,forward,right
70,0.50049427897,right,red,forward,right
71,0.508635123747,forward,red,forward,right
72,0.50665162466,parado,red,left,forward
73,0.507511619554,left,red,left,forward
74,0.504696877373,right,red,left,forward
75,0.500744530084,forward,red,left,forward
76,0.501025301114,parado,green,right,forward
77,0.507226074682,left,green,right,forward
78,0.509891913587,right,green,right,forward
79,0.509857204135,forward,green,right,forward
80,0.505570889162,parado,red,right,left
81,0.500840014215,left,red,right,left
82,0.50178713583,right,red,right,left
83,0.508513199652,forward,red,right,left
84,0.5003084427,parado,green,forward,left
85,0.506608940103,left,green,forward,left
86,0.502784727539,right,green,forward,left
87,0.50374661976,forward,green,forward,left
88,0.500063739986,parado,green,right,left
89,0.501064270207,left,green,right,left
90,0.500035865621,right,green,right,left
91,0.501005835618,forward,green,right,left
92,0.509472689507,parado,red,right,right
93,0.503639188452,left,red,right,right
94,0.508704535229,right,red,right,right
95,0.501997964678,forward,red,right,right
