,Qvalue,action,light,oncoming,waypoint
0,0.00624629394302,parado,green,parado,right
1,0.00901882630845,left,green,parado,right
2,0.00231300773063,right,green,parado,right
3,0.00718654239715,forward,green,parado,right
4,0.00131336536297,parado,red,parado,right
5,0.00740812758909,left,red,parado,right
6,0.00383188215013,right,red,parado,right
7,0.00494735150762,forward,red,parado,right
8,0.00788086469512,parado,red,parado,forward
9,0.00273641767133,left,red,parado,forward
10,0.00688230758804,right,red,parado,forward
11,0.00701738701398,forward,red,parado,forward
12,0.00383153575244,parado,green,parado,forward
13,0.00230425252016,left,green,parado,forward
14,0.00262036626415,right,green,parado,forward
15,0.00883794736595,forward,green,parado,forward
16,0.00340217463941,parado,green,left,forward
17,0.00116320963956,left,green,left,forward
18,0.00645344258244,right,green,left,forward
19,0.0032394963136,forward,green,left,forward
20,0.00304206821558,parado,green,forward,right
21,0.00690578034739,left,green,forward,right
22,0.00547527223305,right,green,forward,right
23,0.00438908170107,forward,green,forward,right
24,0.00858536128537,parado,red,left,right
25,0.00705135845103,left,red,left,right
26,0.00226829905662,right,red,left,right
27,0.00374469849123,forward,red,left,right
28,0.00877902684257,parado,green,left,right
29,0.000778007123827,left,green,left,right
30,0.00231554155466,right,green,left,right
31,0.00838473882118,forward,green,left,right
32,0.00130144069223,parado,green,forward,forward
33,0.00514303004092,left,green,forward,forward
34,0.00939405658962,right,green,forward,forward
35,0.00639114156495,forward,green,forward,forward
36,0.00654561760222,parado,red,parado,left
37,0.00799759738783,left,red,parado,left
38,0.00724113102228,right,red,parado,left
39,4.9941978568e-06,forward,red,parado,left
40,0.0097268704711,parado,red,right,left
41,0.00364970589004,left,red,right,left
42,0.00394685159097,right,red,right,left
43,0.00701684582981,forward,red,right,left
44,0.000250830715751,parado,green,parado,left
45,0.000442462280952,left,green,parado,left
46,2.87227386517e-05,right,green,parado,left
47,0.00626537419206,forward,green,parado,left
48,0.00229433996137,parado,red,forward,right
49,0.00999260990118,left,red,forward,right
50,0.00701356076721,right,red,forward,right
51,0.00102529827513,forward,red,forward,right
52,0.00540550374859,parado,green,right,right
53,0.0079225718116,left,green,right,right
54,0.00400275903205,right,green,right,right
55,0.00552250785799,forward,green,right,right
56,0.00222553277685,parado,red,left,forward
57,0.00534180406389,left,red,left,forward
58,0.0024328970137,right,red,left,forward
59,0.000501526071048,forward,red,left,forward
60,0.00654777276836,parado,red,right,right
61,0.00374942869943,left,red,right,right
62,0.00178756169026,right,red,right,right
63,0.00879444559715,forward,red,right,right
64,0.00706228313732,parado,green,right,left
65,0.00234634367675,left,green,right,left
66,0.00637524030876,right,green,right,left
67,0.00309095487608,forward,green,right,left
68,0.00679221777576,parado,green,forward,left
69,0.00826665956877,left,green,forward,left
70,0.00523489516744,right,green,forward,left
71,0.00166212545927,forward,green,forward,left
72,0.00239877409728,parado,red,forward,left
73,0.00592709735203,left,red,forward,left
74,0.00320492584151,right,red,forward,left
75,0.00502926889891,forward,red,forward,left
76,0.00886241745998,parado,red,left,left
77,0.0061822759831,left,red,left,left
78,0.00671873723023,right,red,left,left
79,0.00478677829302,forward,red,left,left
80,0.00655326644455,parado,green,left,left
81,0.00263023879208,left,green,left,left
82,0.00509283019816,right,green,left,left
83,0.00843867928707,forward,green,left,left
84,0.0074504285398,parado,red,forward,forward
85,0.000839435275735,left,red,forward,forward
86,0.00285903486845,right,red,forward,forward
87,0.00536174908837,forward,red,forward,forward
88,0.00752849927616,parado,green,right,forward
89,0.00902809518056,left,green,right,forward
90,0.00298826303092,right,green,right,forward
91,0.00499024295388,forward,green,right,forward
92,0.00972569020807,parado,red,right,forward
93,0.00443193352145,left,red,right,forward
94,0.00800903476309,right,red,right,forward
95,0.00888379024556,forward,red,right,forward
