,Qvalue,action,light,oncoming,waypoint
0,2.37488165609,parado,green,left,forward
1,2.68481759096,left,green,left,forward
2,0.503126757253,right,green,left,forward
3,3.34169022659,forward,green,left,forward
4,3.21193698209,parado,red,left,right
5,-19.0148197776,left,red,left,right
6,-7.56252517298,right,red,left,right
7,-23.1565675618,forward,red,left,right
8,1.05253555643,parado,green,left,right
9,1.81338088385,left,green,left,right
10,0.504948548036,right,green,left,right
11,1.56573400077,forward,green,left,right
12,-3.18218164538,parado,green,right,right
13,-16.2278244183,left,green,right,right
14,0.502299966533,right,green,right,right
15,1.50594169037,forward,green,right,right
16,-3.94900844414,parado,green,parado,right
17,0.819068317866,left,green,parado,right
18,0.504685906371,right,green,parado,right
19,2.36067538788,forward,green,parado,right
20,2.74153042967,parado,red,right,right
21,-28.8006802574,left,red,right,right
22,0.50534865058,right,red,right,right
23,-19.1189377611,forward,red,right,right
24,3.32279337113,parado,red,parado,right
25,-10.1594252469,left,red,parado,right
26,0.502442342633,right,red,parado,right
27,-8.2405412156,forward,red,parado,right
28,3.68492547023,parado,red,parado,forward
29,-8.36699373656,left,red,parado,forward
30,0.50866765326,right,red,parado,forward
31,-12.4004065315,forward,red,parado,forward
32,2.91626193639,parado,red,forward,right
33,-26.9059164985,left,red,forward,right
34,0.50159941091,right,red,forward,right
35,-22.439908783,forward,red,forward,right
36,-4.70554031986,parado,green,forward,right
37,-17.0264475508,left,green,forward,right
38,0.502214941132,right,green,forward,right
39,2.12909148899,forward,green,forward,right
40,-3.36335764301,parado,green,parado,forward
41,1.51847559866,left,green,parado,forward
42,0.501175951719,right,green,parado,forward
43,3.1334938592,forward,green,parado,forward
44,2.65389552684,parado,red,left,forward
45,-23.6493436309,left,red,left,forward
46,0.507512210744,right,red,left,forward
47,-10.7749122607,forward,red,left,forward
48,2.52887288453,parado,green,left,left
49,3.01699867604,left,green,left,left
50,0.502302874689,right,green,left,left
51,0.949471902677,forward,green,left,left
52,-3.61741620712,parado,green,parado,left
53,3.20074944058,left,green,parado,left
54,0.50270780258,right,green,parado,left
55,1.95882079274,forward,green,parado,left
56,4.09735128461,parado,red,forward,left
57,-8.58755409497,left,red,forward,left
58,0.505073821457,right,red,forward,left
59,-23.6862189873,forward,red,forward,left
60,2.94185595648,parado,red,right,left
61,0.50251656239,left,red,right,left
62,0.506833004637,right,red,right,left
63,-6.46758667503,forward,red,right,left
64,0.507358850453,parado,green,forward,left
65,-9.09415419231,left,green,forward,left
66,0.501773847472,right,green,forward,left
67,2.13458585999,forward,green,forward,left
68,-1.9184239889,parado,green,right,forward
69,-9.77519706626,left,green,right,forward
70,1.16971583103,right,green,right,forward
71,0.500665012039,forward,green,right,forward
72,3.48583597224,parado,red,parado,left
73,-27.5492557635,left,red,parado,left
74,0.50636464655,right,red,parado,left
75,-23.2228845858,forward,red,parado,left
76,2.88733383055,parado,red,right,forward
77,-19.4888725829,left,red,right,forward
78,0.509046107694,right,red,right,forward
79,-19.0454622452,forward,red,right,forward
80,-2.36208892056,parado,green,forward,forward
81,-17.6425280972,left,green,forward,forward
82,0.509287669013,right,green,forward,forward
83,3.97432750099,forward,green,forward,forward
84,2.34922349356,parado,red,left,left
85,-8.52919794159,left,red,left,left
86,0.508080048367,right,red,left,left
87,-10.9963792253,forward,red,left,left
88,3.54842404344,parado,red,forward,forward
89,-23.3876381202,left,red,forward,forward
90,0.506625523482,right,red,forward,forward
91,-15.0222294669,forward,red,forward,forward
92,-2.44433342579,parado,green,right,left
93,-16.0201720629,left,green,right,left
94,0.508588227289,right,green,right,left
95,1.09158198454,forward,green,right,left
