,Qvalue,action,light,oncoming,waypoint
0,-3.87465518079,parado,green,forward,left
1,-15.360547286,left,green,forward,left
2,0.503985717185,right,green,forward,left
3,0.71542932373,forward,green,forward,left
4,2.35827454109,parado,red,forward,left
5,-10.625070507,left,red,forward,left
6,0.375403419863,right,red,forward,left
7,-9.013123208,forward,red,forward,left
8,1.81617497235,parado,red,parado,left
9,-27.6532379274,left,red,parado,left
10,0.502102795201,right,red,parado,left
11,-10.2755678548,forward,red,parado,left
12,1.55805374145,parado,red,right,left
13,-35.1531198701,left,red,right,left
14,0.502191893455,right,red,right,left
15,-4.84120132059,forward,red,right,left
16,-2.55665510102,parado,green,parado,left
17,2.13281155916,left,green,parado,left
18,0.501989439144,right,green,parado,left
19,0.647477454537,forward,green,parado,left
20,2.2569787592,parado,red,parado,forward
21,-8.78973250615,left,red,parado,forward
22,0.507054298259,right,red,parado,forward
23,-10.1671543132,forward,red,parado,forward
24,1.07977425208,parado,red,forward,forward
25,-11.984187316,left,red,forward,forward
26,0.501521949714,right,red,forward,forward
27,-9.52424659893,forward,red,forward,forward
28,-3.4309100011,parado,green,forward,forward
29,0.505960369784,left,green,forward,forward
30,0.504810688162,right,green,forward,forward
31,1.65000077339,forward,green,forward,forward
32,1.05511420052,parado,red,left,forward
33,-23.6852992878,left,red,left,forward
34,0.504803991241,right,red,left,forward
35,-9.41498646623,forward,red,left,forward
36,1.04380494082,parado,green,left,forward
37,0.211738442354,left,green,left,forward
38,0.666073000721,right,green,left,forward
39,2.02031783291,forward,green,left,forward
40,-3.67663987168,parado,green,parado,right
41,0.194786318029,left,green,parado,right
42,1.72148707216,right,green,parado,right
43,0.318810227243,forward,green,parado,right
44,1.5267659668,parado,red,left,right
45,-11.9767537619,left,red,left,right
46,0.505896954375,right,red,left,right
47,-7.10233950231,forward,red,left,right
48,0.297703694291,parado,green,left,right
49,0.366357278912,left,green,left,right
50,1.87709366395,right,green,left,right
51,0.499640402222,forward,green,left,right
52,1.79107715495,parado,red,parado,right
53,-15.527400894,left,red,parado,right
54,0.505088930428,right,red,parado,right
55,-15.6886577325,forward,red,parado,right
56,-3.86647600696,parado,green,parado,forward
57,1.30847227192,left,green,parado,forward
58,0.356827594621,right,green,parado,forward
59,2.06366780268,forward,green,parado,forward
60,-2.03733626076,parado,green,forward,right
61,0.504199268323,left,green,forward,right
62,0.79887414809,right,green,forward,right
63,0.507375888966,forward,green,forward,right
64,0.504442308448,parado,green,right,right
65,0.503472442795,left,green,right,right
66,1.00582270142,right,green,right,right
67,0.504197540005,forward,green,right,right
68,0.815729381456,parado,red,right,forward
69,-19.7004654119,left,red,right,forward
70,-10.1068798274,right,red,right,forward
71,-15.8518735959,forward,red,right,forward
72,0.500618980024,parado,green,right,left
73,-10.1933312034,left,green,right,left
74,0.500979055731,right,green,right,left
75,1.07935529284,forward,green,right,left
76,0.505539551949,parado,green,left,left
77,1.99328154558,left,green,left,left
78,1.04585293115,right,green,left,left
79,0.0680507599974,forward,green,left,left
80,2.14312020823,parado,red,left,left
81,-9.20597598989,left,red,left,left
82,0.508286723474,right,red,left,left
83,0.507656123574,forward,red,left,left
84,1.87422680422,parado,red,right,right
85,0.505421209889,left,red,right,right
86,0.507722973452,right,red,right,right
87,0.507265751363,forward,red,right,right
88,-2.53260698334,parado,green,right,forward
89,-9.88214663153,left,green,right,forward
90,0.500519585751,right,green,right,forward
91,0.500687869456,forward,green,right,forward
92,0.503207923306,parado,red,forward,right
93,-4.43165138475,left,red,forward,right
94,1.91727800224,right,red,forward,right
95,0.503329493801,forward,red,forward,right
