,Qvalue,action,light,oncoming,waypoint
0,1.98914154926,parado,red,parado,left
1,-10.0350386736,left,red,parado,left
2,0.00752565155973,right,red,parado,left
3,-16.8916008254,forward,red,parado,left
4,2.1693992413,parado,red,forward,left
5,-5.09070772555,left,red,forward,left
6,0.00523074897109,right,red,forward,left
7,-4.78609726345,forward,red,forward,left
8,-5.01260078749,parado,green,forward,left
9,0.00952908745909,left,green,forward,left
10,0.00656183617803,right,green,forward,left
11,0.315702324736,forward,green,forward,left
12,-5.01509324595,parado,green,parado,left
13,2.34504953694,left,green,parado,left
14,0.00198651799162,right,green,parado,left
15,0.748880628295,forward,green,parado,left
16,0.54844710741,parado,green,left,forward
17,0.650552034601,left,green,left,forward
18,0.00749885638571,right,green,left,forward
19,1.79267858487,forward,green,left,forward
20,0.98171394685,parado,red,parado,right
21,-14.4029572667,left,red,parado,right
22,0.00207861111067,right,red,parado,right
23,-24.9192410645,forward,red,parado,right
24,0.845641581953,parado,green,left,right
25,-0.0730113431407,left,green,left,right
26,0.00418109542368,right,green,left,right
27,0.00492382583499,forward,green,left,right
28,-3.49715627134,parado,green,right,forward
29,0.00717214034057,left,green,right,forward
30,0.860703893591,right,green,right,forward
31,0.00213807469215,forward,green,right,forward
32,1.21745319697,parado,red,forward,forward
33,-4.74523751913,left,red,forward,forward
34,-10.0128481258,right,red,forward,forward
35,-20.3969593491,forward,red,forward,forward
36,1.6053952254,parado,red,left,left
37,-30.8047975798,left,red,left,left
38,0.00284120998148,right,red,left,left
39,-18.8416194066,forward,red,left,left
40,0.695977273753,parado,green,left,left
41,1.3627622074,left,green,left,left
42,0.00924182378047,right,green,left,left
43,1.11796122383,forward,green,left,left
44,-4.85648508856,parado,green,parado,forward
45,0.379456905665,left,green,parado,forward
46,0.00671364091876,right,green,parado,forward
47,1.69665491907,forward,green,parado,forward
48,-4.56040714911,parado,green,parado,right
49,0.0831201287634,left,green,parado,right
50,0.00119739767886,right,green,parado,right
51,0.698356761228,forward,green,parado,right
52,2.39045675457,parado,red,parado,forward
53,-21.625779179,left,red,parado,forward
54,0.00876704928517,right,red,parado,forward
55,-6.94062256911,forward,red,parado,forward
56,1.24067585893,parado,red,forward,right
57,0.0038415911718,left,red,forward,right
58,0.000242901996561,right,red,forward,right
59,-24.0997037072,forward,red,forward,right
60,1.29189360596,parado,red,left,right
61,-6.88757359081,left,red,left,right
62,0.00153188821598,right,red,left,right
63,-8.22422380224,forward,red,left,right
64,1.20401132542,parado,red,right,right
65,-19.5745175592,left,red,right,right
66,0.00367289925531,right,red,right,right
67,-16.8974794693,forward,red,right,right
68,2.13564369098,parado,red,right,forward
69,0.00278526158985,left,red,right,forward
70,-9.23742561232,right,red,right,forward
71,-4.82119338697,forward,red,right,forward
72,1.84886079153,parado,red,left,forward
73,-11.104596957,left,red,left,forward
74,0.000700369695918,right,red,left,forward
75,-9.36436118724,forward,red,left,forward
76,0.00129625296414,parado,green,forward,forward
77,-14.637701358,left,green,forward,forward
78,0.00035236323876,right,green,forward,forward
79,1.60548749042,forward,green,forward,forward
80,-2.99176901473,parado,green,forward,right
81,0.00360413203328,left,green,forward,right
82,2.05234196535,right,green,forward,right
83,0.334059233109,forward,green,forward,right
84,0.00179613562657,parado,red,right,left
85,0.00126587216229,left,red,right,left
86,0.48432139984,right,red,right,left
87,-5.03341546409,forward,red,right,left
88,0.00511532010547,parado,green,right,left
89,-9.92541558061,left,green,right,left
90,0.247247204168,right,green,right,left
91,0.0012278587716,forward,green,right,left
92,0.00133410920018,parado,green,right,right
93,-10.3894909036,left,green,right,right
94,0.00821470281156,right,green,right,right
95,0.00292387606906,forward,green,right,right
