,Qvalue,action,light,oncoming,waypoint
0,3.24051236425,parado,red,parado,right
1,-23.4689537961,left,red,parado,right
2,1.00798898042,right,red,parado,right
3,-8.82445843009,forward,red,parado,right
4,-2.84348154928,parado,green,right,right
5,-8.84112252255,left,green,right,right
6,3.21062198174,right,green,right,right
7,1.98020038887,forward,green,right,right
8,-2.887718246,parado,green,parado,forward
9,2.32070314149,left,green,parado,forward
10,1.00500587779,right,green,parado,forward
11,3.29211714542,forward,green,parado,forward
12,-3.67838234368,parado,green,parado,right
13,1.71423429912,left,green,parado,right
14,1.00261094527,right,green,parado,right
15,1.39613891369,forward,green,parado,right
16,3.00775858677,parado,red,right,left
17,-18.6684708982,left,red,right,left
18,1.00846634175,right,red,right,left
19,-14.3271123087,forward,red,right,left
20,3.17455072116,parado,red,forward,left
21,-14.7318552764,left,red,forward,left
22,1.00642853626,right,red,forward,left
23,-14.0962149123,forward,red,forward,left
24,-2.98604750134,parado,green,forward,left
25,-17.5339062712,left,green,forward,left
26,1.00617772207,right,green,forward,left
27,1.91908291277,forward,green,forward,left
28,-3.85602357443,parado,green,parado,left
29,2.90677198719,left,green,parado,left
30,1.00934861284,right,green,parado,left
31,1.91000810375,forward,green,parado,left
32,1.77120632901,parado,green,left,left
33,4.18052981858,left,green,left,left
34,1.00635735977,right,green,left,left
35,1.67141708087,forward,green,left,left
36,2.84214398617,parado,red,parado,left
37,-9.46247606591,left,red,parado,left
38,1.00555796719,right,red,parado,left
39,-27.2801053979,forward,red,parado,left
40,-1.65386429677,parado,green,right,forward
41,-16.3333140156,left,green,right,forward
42,1.00126229052,right,green,right,forward
43,2.88720850006,forward,green,right,forward
44,3.39700631926,parado,red,right,forward
45,-18.8239634348,left,red,right,forward
46,1.00020479878,right,red,right,forward
47,-13.8882843588,forward,red,right,forward
48,3.0032968466,parado,red,left,forward
49,-7.73426922065,left,red,left,forward
50,1.0025406864,right,red,left,forward
51,-9.54335255354,forward,red,left,forward
52,2.19326479393,parado,green,left,forward
53,2.04350544735,left,green,left,forward
54,1.00623776468,right,green,left,forward
55,3.2168539606,forward,green,left,forward
56,2.6936057411,parado,red,left,right
57,-4.48432331855,left,red,left,right
58,1.00265735577,right,red,left,right
59,-11.9073056977,forward,red,left,right
60,1.54034509955,parado,green,left,right
61,1.41126464814,left,green,left,right
62,1.00381635492,right,green,left,right
63,2.28308194243,forward,green,left,right
64,4.63832819591,parado,red,left,left
65,-28.722290587,left,red,left,left
66,1.00169267085,right,red,left,left
67,-19.248397625,forward,red,left,left
68,3.11665808534,parado,red,parado,forward
69,-8.05715987143,left,red,parado,forward
70,1.00474965662,right,red,parado,forward
71,-23.8790157397,forward,red,parado,forward
72,-1.79190933613,parado,green,forward,forward
73,-13.3783995878,left,green,forward,forward
74,1.00373050622,right,green,forward,forward
75,3.63892949028,forward,green,forward,forward
76,1.00333169042,parado,green,right,left
77,-8.75842968091,left,green,right,left
78,2.55788291776,right,green,right,left
79,1.00221808633,forward,green,right,left
80,4.17460671892,parado,red,forward,forward
81,-9.64898507284,left,red,forward,forward
82,1.00420078539,right,red,forward,forward
83,-8.46078593945,forward,red,forward,forward
84,3.25622300459,parado,red,right,right
85,-33.2996817078,left,red,right,right
86,1.0026696763,right,red,right,right
87,-30.0234398861,forward,red,right,right
88,2.87927742964,parado,red,forward,right
89,-21.1823711713,left,red,forward,right
90,1.00882023336,right,red,forward,right
91,-19.0431860245,forward,red,forward,right
92,-3.90371963492,parado,green,forward,right
93,-13.6055784906,left,green,forward,right
94,1.00559841588,right,green,forward,right
95,2.4275219531,forward,green,forward,right
