,Qvalue,action,light,oncoming,waypoint
0,0.505638399789,parado,green,right,forward
1,0.502106022591,left,green,right,forward
2,0.504569474531,right,green,right,forward
3,0.503844837167,forward,green,right,forward
4,0.50636833206,parado,green,parado,left
5,0.506781959987,left,green,parado,left
6,0.50343077883,right,green,parado,left
7,0.500817767338,forward,green,parado,left
8,0.504969665586,parado,green,parado,forward
9,0.509219556115,left,green,parado,forward
10,0.503826070488,right,green,parado,forward
11,0.505931917354,forward,green,parado,forward
12,0.508670668553,parado,red,parado,right
13,0.503384745811,left,red,parado,right
14,0.503329338609,right,red,parado,right
15,0.50373172682,forward,red,parado,right
16,0.50425708366,parado,green,parado,right
17,0.508397654939,left,green,parado,right
18,0.507263245829,right,green,parado,right
19,0.50802667741,forward,green,parado,right
20,0.50961080906,parado,green,left,left
21,0.502122223279,left,green,left,left
22,0.503468795529,right,green,left,left
23,0.5030780711,forward,green,left,left
24,0.502235119657,parado,red,left,left
25,0.506645210999,left,red,left,left
26,0.508077940192,right,red,left,left
27,0.509514043566,forward,red,left,left
28,0.507260697705,parado,green,forward,left
29,0.507984672841,left,green,forward,left
30,0.504155458053,right,green,forward,left
31,0.502043895417,forward,green,forward,left
32,0.509168857861,parado,red,parado,left
33,0.505779232486,left,red,parado,left
34,0.501229466466,right,red,parado,left
35,0.506758636313,forward,red,parado,left
36,0.504166014133,parado,green,right,left
37,0.503002114626,left,green,right,left
38,0.509234146457,right,green,right,left
39,0.503389647894,forward,green,right,left
40,0.506777098624,parado,red,forward,forward
41,0.507951854904,left,red,forward,forward
42,0.502729435618,right,red,forward,forward
43,0.500646105349,forward,red,forward,forward
44,0.506729100575,parado,green,forward,forward
45,0.503455083856,left,green,forward,forward
46,0.501634257324,right,green,forward,forward
47,0.506171848063,forward,green,forward,forward
48,0.500990226082,parado,green,left,forward
49,0.506640039711,left,green,left,forward
50,0.509438136115,right,green,left,forward
51,0.506251442401,forward,green,left,forward
52,0.505194062225,parado,green,forward,right
53,0.509977346285,left,green,forward,right
54,0.508392711989,right,green,forward,right
55,0.501074949691,forward,green,forward,right
56,0.509560342901,parado,red,right,right
57,0.505970663367,left,red,right,right
58,0.505677521848,right,red,right,right
59,0.50646386723,forward,red,right,right
60,0.509473544004,parado,green,left,right
61,0.504273612368,left,green,left,right
62,0.50014248967,right,green,left,right
63,0.508761471055,forward,green,left,right
64,0.500851515382,parado,red,parado,forward
65,0.500807812819,left,red,parado,forward
66,0.508260173066,right,red,parado,forward
67,0.501965174335,forward,red,parado,forward
68,0.500330401323,parado,green,right,right
69,0.506244990821,left,green,right,right
70,0.5078053921,right,green,right,right
71,0.507966028432,forward,green,right,right
72,0.504492034148,parado,red,forward,right
73,0.502113223451,left,red,forward,right
74,0.501887088793,right,red,forward,right
75,0.504369338573,forward,red,forward,right
76,0.504502508981,parado,red,left,right
77,0.505926379583,left,red,left,right
78,0.501254218985,right,red,left,right
79,0.503280051677,forward,red,left,right
80,0.503261776062,parado,red,left,forward
81,0.505896854762,left,red,left,forward
82,0.500910315994,right,red,left,forward
83,0.502249124843,forward,red,left,forward
84,0.503058445268,parado,red,right,forward
85,0.50927467966,left,red,right,forward
86,0.509308112016,right,red,right,forward
87,0.502330213784,forward,red,right,forward
88,0.509444723026,parado,red,right,left
89,0.506246259424,left,red,right,left
90,0.500953155501,right,red,right,left
91,0.507963276736,forward,red,right,left
92,0.500400621185,parado,red,forward,left
93,0.501943699575,left,red,forward,left
94,0.500064595346,right,red,forward,left
95,0.500067623069,forward,red,forward,left
