,Qvalue,action,light,oncoming,waypoint
0,1.00664004116,parado,green,parado,right
1,1.0074164075,left,green,parado,right
2,1.00030023733,right,green,parado,right
3,1.0078557158,forward,green,parado,right
4,1.00489672111,parado,green,left,left
5,1.00872670654,left,green,left,left
6,1.00448010893,right,green,left,left
7,1.00189972073,forward,green,left,left
8,1.00096181738,parado,green,left,forward
9,1.00129638893,left,green,left,forward
10,1.00181387286,right,green,left,forward
11,1.00394901711,forward,green,left,forward
12,1.00553452663,parado,red,parado,forward
13,1.00892053804,left,red,parado,forward
14,1.00336793847,right,red,parado,forward
15,1.00444702839,forward,red,parado,forward
16,1.00714391636,parado,red,left,forward
17,1.00191861799,left,red,left,forward
18,1.00552961517,right,red,left,forward
19,1.00265680723,forward,red,left,forward
20,1.00477497513,parado,green,left,right
21,1.00603524686,left,green,left,right
22,1.00880690822,right,green,left,right
23,1.00981325424,forward,green,left,right
24,1.00534125356,parado,red,parado,left
25,1.00791441111,left,red,parado,left
26,1.00262743271,right,red,parado,left
27,1.0080240752,forward,red,parado,left
28,1.00588539788,parado,green,parado,left
29,1.00339548276,left,green,parado,left
30,1.00215138738,right,green,parado,left
31,1.00211117976,forward,green,parado,left
32,1.00392250393,parado,red,parado,right
33,1.00451834496,left,red,parado,right
34,1.00571407001,right,red,parado,right
35,1.00527184977,forward,red,parado,right
36,1.00484827365,parado,red,left,right
37,1.00067790406,left,red,left,right
38,1.0081161783,right,red,left,right
39,1.0022262921,forward,red,left,right
40,1.00772839194,parado,red,forward,right
41,1.0008462324,left,red,forward,right
42,1.00648895937,right,red,forward,right
43,1.00858345345,forward,red,forward,right
44,1.00710198768,parado,green,forward,right
45,1.00086056271,left,green,forward,right
46,1.00784495365,right,green,forward,right
47,1.00944191956,forward,green,forward,right
48,1.00686615763,parado,red,right,forward
49,1.00759544599,left,red,right,forward
50,1.00872358078,right,red,right,forward
51,1.00248494085,forward,red,right,forward
52,1.00713327078,parado,green,parado,forward
53,1.00196836745,left,green,parado,forward
54,1.00295263569,right,green,parado,forward
55,1.0072912749,forward,green,parado,forward
56,1.00537015055,parado,green,right,right
57,1.0085813898,left,green,right,right
58,1.00689867073,right,green,right,right
59,1.0055607808,forward,green,right,right
60,1.00559472861,parado,red,right,left
61,1.00023052803,left,red,right,left
62,1.00039330413,right,red,right,left
63,1.00352821245,forward,red,right,left
64,1.00505839183,parado,red,left,left
65,1.00197071547,left,red,left,left
66,1.00684826525,right,red,left,left
67,1.00673791396,forward,red,left,left
68,1.00140793962,parado,green,right,forward
69,1.00860645033,left,green,right,forward
70,1.00858900767,right,green,right,forward
71,1.00384423591,forward,green,right,forward
72,1.00484304436,parado,red,forward,forward
73,1.0053810709,left,red,forward,forward
74,1.00753552102,right,red,forward,forward
75,1.00201260919,forward,red,forward,forward
76,1.00038222144,parado,green,forward,forward
77,1.00283960098,left,green,forward,forward
78,1.0007778788,right,green,forward,forward
79,1.0020440096,forward,green,forward,forward
80,1.0079586578,parado,red,forward,left
81,1.0071509181,left,red,forward,left
82,1.00638296091,right,red,forward,left
83,1.00544601298,forward,red,forward,left
84,1.00306699137,parado,green,forward,left
85,1.00547279476,left,green,forward,left
86,1.00608173534,right,green,forward,left
87,1.00417786707,forward,green,forward,left
88,1.0090001441,parado,green,right,left
89,1.0027682223,left,green,right,left
90,1.00458062954,right,green,right,left
91,1.00938067803,forward,green,right,left
92,1.00304504411,parado,red,right,right
93,1.00570688753,left,red,right,right
94,1.00545765994,right,red,right,right
95,1.00731062853,forward,red,right,right
