,Qvalue,action,light,oncoming,waypoint
0,2.00678514482,parado,red,parado,left
1,2.00688379402,left,red,parado,left
2,2.00984307273,right,red,parado,left
3,2.00931476858,forward,red,parado,left
4,2.0050165695,parado,green,parado,left
5,2.00582980726,left,green,parado,left
6,2.00379933111,right,green,parado,left
7,2.00059158214,forward,green,parado,left
8,2.00798090233,parado,red,parado,forward
9,2.00779427889,left,red,parado,forward
10,2.00755769393,right,red,parado,forward
11,2.00628459795,forward,red,parado,forward
12,2.00224993931,parado,green,parado,forward
13,2.00649821885,left,green,parado,forward
14,2.00245251809,right,green,parado,forward
15,2.00929013986,forward,green,parado,forward
16,2.00236410186,parado,green,parado,right
17,2.00809525485,left,green,parado,right
18,2.00964923078,right,green,parado,right
19,2.00782838865,forward,green,parado,right
20,2.00544124146,parado,green,right,right
21,2.00191974433,left,green,right,right
22,2.00502713935,right,green,right,right
23,2.00674263021,forward,green,right,right
24,2.00088632225,parado,red,parado,right
25,2.00084359995,left,red,parado,right
26,2.00812632545,right,red,parado,right
27,2.00731585091,forward,red,parado,right
28,2.00685818304,parado,red,right,right
29,2.00251638547,left,red,right,right
30,2.00894125605,right,red,right,right
31,2.00102727709,forward,red,right,right
32,2.00624198409,parado,green,left,right
33,2.00849131397,left,green,left,right
34,2.00125197733,right,green,left,right
35,2.00075293771,forward,green,left,right
36,2.00203071661,parado,red,left,right
37,2.00485969117,left,red,left,right
38,2.00945814798,right,red,left,right
39,2.00711115399,forward,red,left,right
40,2.00552773488,parado,red,forward,left
41,2.00291465247,left,red,forward,left
42,2.00206043984,right,red,forward,left
43,2.00323577242,forward,red,forward,left
44,2.00102185915,parado,green,forward,left
45,2.0009197468,left,green,forward,left
46,2.00433073748,right,green,forward,left
47,2.0057106105,forward,green,forward,left
48,2.00278119149,parado,green,right,left
49,2.00199207155,left,green,right,left
50,2.00990802817,right,green,right,left
51,2.00321021916,forward,green,right,left
52,2.00286783346,parado,green,left,forward
53,2.00984512715,left,green,left,forward
54,2.00299848069,right,green,left,forward
55,2.00598013812,forward,green,left,forward
56,2.00416854783,parado,red,forward,forward
57,2.00358870186,left,red,forward,forward
58,2.00749215244,right,red,forward,forward
59,2.00394770838,forward,red,forward,forward
60,2.00131360905,parado,red,left,forward
61,2.00410845264,left,red,left,forward
62,2.00721323853,right,red,left,forward
63,2.00596441873,forward,red,left,forward
64,2.00512973694,parado,green,left,left
65,2.00694016465,left,green,left,left
66,2.00366907781,right,green,left,left
67,2.00789563759,forward,green,left,left
68,2.00165435338,parado,red,right,left
69,2.007909674,left,red,right,left
70,2.00119111959,right,red,right,left
71,2.00473165413,forward,red,right,left
72,2.00638852269,parado,green,right,forward
73,2.00848546122,left,green,right,forward
74,2.0012119226,right,green,right,forward
75,2.00928648486,forward,green,right,forward
76,2.0026881649,parado,green,forward,forward
77,2.00940416708,left,green,forward,forward
78,2.00880051958,right,green,forward,forward
79,2.00518933152,forward,green,forward,forward
80,2.00918287135,parado,green,forward,right
81,2.00534512811,left,green,forward,right
82,2.00065263179,right,green,forward,right
83,2.00008696944,forward,green,forward,right
84,2.00336032328,parado,red,forward,right
85,2.00803310037,left,red,forward,right
86,2.00904527475,right,red,forward,right
87,2.00072158395,forward,red,forward,right
88,2.00788245587,parado,red,left,left
89,2.00171006836,left,red,left,left
90,2.0073390441,right,red,left,left
91,2.00567341577,forward,red,left,left
92,2.00086434102,parado,red,right,forward
93,2.00950926892,left,red,right,forward
94,2.00460733443,right,red,right,forward
95,2.00289736964,forward,red,right,forward
