,Qvalue,action,light,oncoming,waypoint
0,-5.51652912973,parado,green,right,left
1,-20.5695963256,left,green,right,left
2,0.507320641017,right,green,right,left
3,1.48604319999,forward,green,right,left
4,-3.6265918716,parado,green,parado,left
5,3.07529910771,left,green,parado,left
6,0.502722389351,right,green,parado,left
7,1.48951856269,forward,green,parado,left
8,1.43608470572,parado,green,left,left
9,2.40703901313,left,green,left,left
10,-0.140456253369,right,green,left,left
11,1.5488405091,forward,green,left,left
12,-2.90172915068,parado,green,parado,right
13,2.5710663712,left,green,parado,right
14,0.507565923211,right,green,parado,right
15,1.31804081737,forward,green,parado,right
16,3.330020761,parado,red,parado,right
17,-8.92056333844,left,red,parado,right
18,-18.5229536743,right,red,parado,right
19,-9.25473157969,forward,red,parado,right
20,-3.67213220722,parado,green,parado,forward
21,1.42497358788,left,green,parado,forward
22,0.50358165514,right,green,parado,forward
23,2.79871853415,forward,green,parado,forward
24,-4.72965904496,parado,green,forward,right
25,-20.4317782584,left,green,forward,right
26,0.500438459724,right,green,forward,right
27,3.33585642071,forward,green,forward,right
28,2.37628006955,parado,red,forward,forward
29,-8.55602305059,left,red,forward,forward
30,0.507573732954,right,red,forward,forward
31,-8.52463897314,forward,red,forward,forward
32,1.84272038029,parado,green,left,forward
33,0.50297478213,left,green,left,forward
34,0.502975288634,right,green,left,forward
35,0.504302631138,forward,green,left,forward
36,4.38861803647,parado,red,forward,right
37,-39.2860177028,left,red,forward,right
38,0.501330995536,right,red,forward,right
39,-8.97941050883,forward,red,forward,right
40,0.502680802772,parado,green,left,right
41,0.32365879228,left,green,left,right
42,4.18911113781,right,green,left,right
43,0.460818822374,forward,green,left,right
44,3.95795408743,parado,red,right,right
45,0.503298431519,left,red,right,right
46,0.50756041985,right,red,right,right
47,-7.21881180247,forward,red,right,right
48,3.13289694627,parado,red,right,forward
49,-39.545701321,left,red,right,forward
50,0.503720459735,right,red,right,forward
51,-9.65935666474,forward,red,right,forward
52,4.43099084438,parado,red,left,right
53,-8.40141381794,left,red,left,right
54,-19.5510314935,right,red,left,right
55,-8.10702420246,forward,red,left,right
56,2.49134628651,parado,red,parado,forward
57,-8.07226221811,left,red,parado,forward
58,0.507931270533,right,red,parado,forward
59,-9.53994038478,forward,red,parado,forward
60,0.500325032054,parado,green,forward,forward
61,-17.8481966827,left,green,forward,forward
62,1.75990160795,right,green,forward,forward
63,3.25975801004,forward,green,forward,forward
64,4.22479239075,parado,red,parado,left
65,-8.98661864192,left,red,parado,left
66,0.50349987077,right,red,parado,left
67,-8.79743806738,forward,red,parado,left
68,3.2034551312,parado,red,right,left
69,-39.1910716991,left,red,right,left
70,0.500603147687,right,red,right,left
71,0.505123615734,forward,red,right,left
72,3.70748750102,parado,red,forward,left
73,-7.56606320689,left,red,forward,left
74,0.503947397777,right,red,forward,left
75,-37.1994330494,forward,red,forward,left
76,-4.18710991343,parado,green,forward,left
77,-20.4370003611,left,green,forward,left
78,0.505146262259,right,green,forward,left
79,2.77330566024,forward,green,forward,left
80,2.68183466361,parado,red,left,left
81,-7.40417413063,left,red,left,left
82,0.501029786255,right,red,left,left
83,-39.7935040261,forward,red,left,left
84,4.13051794456,parado,red,left,forward
85,-38.6328548327,left,red,left,forward
86,0.502655736808,right,red,left,forward
87,-38.7219471433,forward,red,left,forward
88,0.502511687484,parado,green,right,forward
89,-18.7685687008,left,green,right,forward
90,0.504416369959,right,green,right,forward
91,2.78801101008,forward,green,right,forward
92,-4.3252265245,parado,green,right,right
93,-18.6736583145,left,green,right,right
94,0.501446998245,right,green,right,right
95,2.00305618744,forward,green,right,right
