,Qvalue,action,index,left,light,oncoming,reward,right,testing,trial,waypoint
0,0.690454443427,left,1.0,,green,parado,0.690454443427,,0.0,1.0,right
1,1.24889241048,parado,4.0,,red,forward,1.24889241048,,0.0,1.0,forward
2,-9.14332224482,forward,11.0,,red,left,-9.14332224482,,0.0,1.0,forward
3,-10.9225352142,forward,11.0,,red,left,-10.9225352142,,0.0,1.0,forward
4,1.32284939154,forward,15.0,,green,left,1.32284939154,,0.0,1.0,forward
5,2.33189052486,parado,16.0,,red,parado,2.33189052486,,0.0,1.0,forward
6,2.17393695477,parado,16.0,,red,parado,2.17393695477,,0.0,1.0,forward
7,-9.36138789079,left,17.0,,red,parado,-9.36138789079,,0.0,1.0,forward
8,1.01222925511,parado,4.0,,red,forward,1.01222925511,,0.0,1.0,forward
9,-19.1445768216,left,21.0,,green,forward,-19.1445768216,,0.0,1.0,forward
10,0.0493998838003,left,13.0,,green,left,0.0493998838003,,0.0,1.0,forward
11,1.12743574901,parado,24.0,,red,parado,1.12743574901,,0.0,1.0,right
12,-10.6967748354,left,25.0,,red,parado,-10.6967748354,,0.0,1.0,right
13,-0.188008504882,forward,3.0,,green,parado,-0.188008504882,,0.0,1.0,right
14,0.924202209551,parado,24.0,,red,parado,0.924202209551,,0.0,1.0,right
15,0.215605300673,left,1.0,,green,parado,0.215605300673,,0.0,1.0,right
16,-5.89354743242,parado,0.0,,green,parado,-5.89354743242,,0.0,1.0,right
17,-4.76722026236,parado,0.0,,green,parado,-4.76722026236,,0.0,1.0,right
18,0.509211048341,left,1.0,,green,parado,0.509211048341,,0.0,1.0,right
19,-0.0625592422068,parado,28.0,,green,left,-0.0625592422068,,0.0,1.0,left
20,0.537271951907,forward,35.0,,green,forward,0.537271951907,,0.0,1.0,left
21,0.643042680213,left,37.0,,green,parado,0.643042680213,,0.0,1.0,left
22,-9.07246954057,left,17.0,,red,parado,-9.07246954057,,0.0,1.0,forward
23,2.20221533181,parado,16.0,,red,parado,2.20221533181,,0.0,1.0,forward
24,-40.7993564312,forward,19.0,,red,parado,-40.7993564312,,0.0,1.0,forward
25,0.390070204892,forward,23.0,,green,forward,0.390070204892,,0.0,1.0,forward
26,0.33352665685,parado,16.0,,red,parado,0.33352665685,,0.0,1.0,forward
27,-10.2180735282,forward,11.0,,red,left,-10.2180735282,,0.0,1.0,forward
28,0.568748756679,forward,15.0,,green,left,0.568748756679,,0.0,1.0,forward
29,-9.1119669133,left,25.0,,red,parado,-9.1119669133,,0.0,1.0,right
30,1.76047272642,forward,43.0,,green,parado,1.76047272642,,0.0,2.0,forward
31,-39.2698165275,forward,19.0,,red,parado,-39.2698165275,,0.0,2.0,forward
32,-9.10196519428,forward,19.0,,red,parado,-9.10196519428,,0.0,2.0,forward
