trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-75.9850381018061,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-108.33521106658007,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-125.76866106991203,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561}",25,0,-42.59158206818443,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,0,-130.11154904330877,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.531441}",20,0,-61.755354775221996,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",35,0,-41.251783983874155,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",25,0,-47.72167731412162,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",20,0,-19.210699308362504,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",20,0,-4.274264209016144,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",20,0,-25.585100237937155,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",20,0,12.11664347144852,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",25,0,-25.959062677099826,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.2287679245496101}",20,5,-33.86170405316212,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.20589113209464907}",20,0,-26.40250459709731,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.18530201888518416}",30,0,27.93528334454668,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,0,1.479367657727435,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.15009463529699918}",20,7,9.32010624633439,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",30,16,22.439069230844826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056935}",25,1,-12.933524865794723,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151242}",25,0,-32.17159855155125,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.09847709021836118}",20,0,22.261296831473818,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.08862938119652507}",20,0,-13.289374874799554,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.07976644307687256}",20,0,15.923516025607038,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0717897987691853}",20,0,-57.69581751385227,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.06461081889226677}",30,19,17.353335309935304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.058149737003040096}",30,0,22.440433199905776,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.05233476330273609}",25,9,30.221228203750993,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.047101286972462485}",20,0,-0.1755722785682169,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,7,-31.656796222915116,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,11,25.59644593995462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,11.382172169978459,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,0,-37.666926087407646,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,40.35313774670231,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,18,10.37902678571286,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,21.876244224242313,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,25.554345000441558,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,29.71989641825588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,28.914999965656346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,3,30.78262312866257,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,12,13.879787268418669,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,0,27.40113292376406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,16,1.3677036753442453,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,33.84135478299985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,26.887034828728382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,3,35.56188434921771,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,13,20.094374520309852,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,11,30.94768055719551,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,0,27.379854488523936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0, 'e': 0}",25,18,15.769238187568916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,0,-11.290892916457459,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,True,"{'a': 0, 'e': 0}",25,0,35.53569632397589,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
