trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-95.41470934666089,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,0,-168.17616757354963,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",30,0,-136.82953802059555,"{0: 14, 1: 6, 2: 7, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.6561}",20,2,-61.87141582785677,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,0,-24.8781796549503,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.531441}",25,0,-171.31215329941338,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",25,1,24.91808103560906,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",20,8,11.132340582177836,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",20,10,-43.4640792058889,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",30,21,3.907812909404762,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",20,9,6.16597877967512,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",25,8,-38.636625666699196,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",25,5,-20.111312156770477,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.2287679245496101}",30,3,5.606338073850414,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.20589113209464907}",25,0,-26.783555614360843,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.18530201888518416}",25,11,4.839367008233694,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,7,1.1509917823265239,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.15009463529699918}",25,13,-29.60376883497159,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",20,6,19.53396334052816,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056935}",25,14,23.96989583792623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151242}",20,3,34.11292388769013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.09847709021836118}",20,9,21.780353347455513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652507}",25,0,3.0442951347784772,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.07976644307687256}",30,13,29.82539669208429,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0717897987691853}",30,12,9.460065209928676,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.06461081889226677}",25,8,35.990137528479416,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.058149737003040096}",30,12,-9.33661372790898,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.05233476330273609}",20,9,5.700491091455754,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.047101286972462485}",30,18,25.037028788660667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,20.733109826542105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,28.625870047215486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,20.476386703948506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,18.988775263874434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,13.861655472874281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,26.350107323471864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,18,12.642418290131994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,19.932495117843768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,21.994421556596528,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,19.87576203035049,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,8,30.8078331882666,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,15,14.744272007678356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,19,20.09732910635645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,13,25.595069908509544,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,11,23.976607127043888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,16,15.756125730043625,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",35,12,43.914923871356365,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,11,16.93487265827131,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,16,17.2675488850079,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,13,37.9668608495235,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,20,18.790598562191228,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",35,23,25.319210412820418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,14,9.736436080328957,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,6,23.444577160455843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,0,31.329208938707698,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
