trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-168.9142556557258,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",30,0,-96.56234141288135,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",30,0,-128.42418422693086,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,5,2.346138988640944,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",25,0,-118.51793225811758,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-34.01632621865622,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-9.11767274873594,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-97.28235409264387,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-53.95658092394728,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",25,0,-19.818313379020957,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,0,-68.74749848773959,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,9,23.94339919093129,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",25,0,-18.823924742663312,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-150.91564693059598,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",20,0,-1.0888258252799226,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,0,-75.15274505580972,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
