trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-121.8691455023453,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9025}",30,0,-90.45623672933485,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-145.0650439322803,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,0,-72.63121587142432,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-95.69145010359816,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-217.70580641004307,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-96.86806517642752,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,7.631225388444111,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,3,-68.39816396654356,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,3,-57.138764311824566,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,7,-27.43253588267836,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",25,8,-81.88007186178223,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",25,16,-5.137328727223434,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",30,15,-26.82317242850016,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",35,0,-119.87692189333318,"{0: 28, 1: 1, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",25,8,-96.8267268696661,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,12,8.035836313486055,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",25,0,-128.17639328888433,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",25,0,-95.70178288897814,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",30,11,4.549194571295089,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.3405616262881148}",20,8,22.62168821564252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.323533544973709}",20,3,-21.769731524204385,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",20,0,18.47492892308716,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
