trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0, 'e': 0.95}",20,0,-175.48081930877214,"{0: 8, 1: 7, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0, 'e': 0.9025}",20,0,-127.43989275306379,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0, 'e': 0.8573749999999999}",25,0,-99.52181524484908,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
4,False,"{'a': 0, 'e': 0.8145062499999999}",35,0,-305.593357412497,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 5}",0
5,False,"{'a': 0, 'e': 0.7737809374999998}",25,0,-163.01443563520453,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0, 'e': 0.7350918906249998}",20,0,-196.84784256065518,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0, 'e': 0.6983372960937497}",25,0,-185.13568923047825,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0, 'e': 0.6634204312890623}",25,0,-146.50982654962343,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
9,False,"{'a': 0, 'e': 0.6302494097246091}",30,0,-236.25841697952015,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
10,False,"{'a': 0, 'e': 0.5987369392383787}",20,0,-111.21093020149775,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0, 'e': 0.5688000922764597}",25,0,-241.42648508711835,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
12,False,"{'a': 0, 'e': 0.5403600876626367}",25,0,-180.3661655276846,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
13,False,"{'a': 0, 'e': 0.5133420832795048}",30,0,-151.92884817224063,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0, 'e': 0.48767497911552954}",20,0,-143.31990317296064,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0, 'e': 0.46329123015975304}",25,0,-201.98009626589968,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0, 'e': 0.44012666865176536}",30,0,-265.3391103894805,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
17,False,"{'a': 0, 'e': 0.4181203352191771}",25,0,-196.98043611622228,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0, 'e': 0.3972143184582182}",20,0,-196.11423892014307,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0, 'e': 0.37735360253530725}",20,0,-111.87592153945573,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0, 'e': 0.3584859224085419}",35,24,-44.438104997835424,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0, 'e': 0.3405616262881148}",25,0,-162.29312408407216,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0, 'e': 0.323533544973709}",25,0,-194.53110756552937,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
23,False,"{'a': 0, 'e': 0.3073568677250236}",25,0,-157.0153449797737,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0, 'e': 0.2919890243387724}",25,0,-196.5818366815124,"{0: 9, 1: 3, 2: 11, 3: 0, 4: 2}",0
25,False,"{'a': 0, 'e': 0.27738957312183377}",25,0,-125.25364915142995,"{0: 12, 1: 1, 2: 11, 3: 1, 4: 0}",0
26,False,"{'a': 0, 'e': 0.26352009446574204}",30,0,-240.4197950225983,"{0: 14, 1: 0, 2: 13, 3: 0, 4: 3}",0
27,False,"{'a': 0, 'e': 0.2503440897424549}",25,0,-203.62656374274187,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
28,False,"{'a': 0, 'e': 0.23782688525533216}",25,0,-174.73236299949377,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
29,False,"{'a': 0, 'e': 0.22593554099256555}",25,0,-126.9620836680505,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
30,False,"{'a': 0, 'e': 0.21463876394293727}",25,3,-169.61486378638838,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 2}",1
31,False,"{'a': 0, 'e': 0.2039068257457904}",20,0,-195.80947196447366,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
32,False,"{'a': 0, 'e': 0.19371148445850087}",30,0,-325.2652459732134,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 7}",0
33,False,"{'a': 0, 'e': 0.18402591023557582}",20,0,-122.57812295932217,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0, 'e': 0.174824614723797}",20,0,-113.20594419306286,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0, 'e': 0.16608338398760716}",20,0,-207.9321825172148,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
36,False,"{'a': 0, 'e': 0.1577792147882268}",25,0,-218.2568567744166,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
37,False,"{'a': 0, 'e': 0.14989025404881545}",20,0,-51.298909518093325,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
38,False,"{'a': 0, 'e': 0.14239574134637467}",25,0,-255.96139937138562,"{0: 10, 1: 0, 2: 11, 3: 0, 4: 4}",0
39,False,"{'a': 0, 'e': 0.13527595427905592}",20,0,-103.87343612959393,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0, 'e': 0.12851215656510312}",25,0,-107.05022969197647,"{0: 13, 1: 0, 2: 12, 3: 0, 4: 0}",0
41,False,"{'a': 0, 'e': 0.12208654873684796}",20,0,-156.58062166085048,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
42,False,"{'a': 0, 'e': 0.11598222130000556}",25,0,-171.19779273657724,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
43,False,"{'a': 0, 'e': 0.11018311023500528}",20,0,-160.80871306231407,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
44,False,"{'a': 0, 'e': 0.10467395472325501}",20,0,-92.4092370266917,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
45,False,"{'a': 0, 'e': 0.09944025698709225}",25,0,-270.1978908192205,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 5}",0
46,False,"{'a': 0, 'e': 0.09446824413773763}",25,0,-169.42946752106758,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
47,False,"{'a': 0, 'e': 0.08974483193085075}",20,3,-177.18717952377776,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 3}",1
48,False,"{'a': 0, 'e': 0.0852575903343082}",20,0,-151.2858632436117,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
