trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.9}",20,0,-135.82115983514308,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 1, 'e': 0.81}",25,0,-106.94283253223884,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 1, 'e': 0.7290000000000001}",25,0,-79.44627077276648,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 1, 'e': 0.6561}",25,0,-172.00864859532388,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 1, 'e': 0.5904900000000001}",20,0,-63.87216634609159,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 1, 'e': 0.531441}",20,0,-24.87629512151269,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 1, 'e': 0.4782969000000001}",25,7,-3.746532257321125,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 1, 'e': 0.4304672100000001}",25,0,11.697987736004317,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 1, 'e': 0.3874204890000001}",20,3,-25.429338409248412,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 1, 'e': 0.3486784401000001}",20,12,-6.064741933565931,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 1, 'e': 0.31381059609000006}",25,0,-84.93532378432953,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 1, 'e': 0.2824295364810001}",20,6,-45.89374386255393,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 1, 'e': 0.2541865828329001}",20,7,18.417163101208914,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 1, 'e': 0.2287679245496101}",20,0,-7.191202981940184,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 1, 'e': 0.20589113209464907}",20,0,12.551457750888053,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 1, 'e': 0.18530201888518416}",20,0,5.156585648476833,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 1, 'e': 0.16677181699666577}",25,14,-6.540710183934809,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 1, 'e': 0.15009463529699918}",20,6,3.7696149120368747,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 1, 'e': 0.13508517176729928}",20,0,21.0468872737771,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 1, 'e': 0.12157665459056935}",20,12,15.073259702880794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 1, 'e': 0.10941898913151242}",30,16,23.806939714132398,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 1, 'e': 0.09847709021836118}",20,0,6.635671014873891,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 1, 'e': 0.08862938119652507}",25,9,25.369041691822105,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 1, 'e': 0.07976644307687256}",25,14,23.313144170056823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 1, 'e': 0.0717897987691853}",20,16,9.511204962424133,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 1, 'e': 0.06461081889226677}",25,13,23.908116232178017,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 1, 'e': 0.058149737003040096}",20,10,-2.8099135412045575,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 1, 'e': 0.05233476330273609}",20,10,19.88011533176131,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 1, 'e': 0.047101286972462485}",25,16,16.172256734177715,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,25.154648637432306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.863775083342555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,30.338898969100025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,15.896715235722741,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,20.31967329074068,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
