trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.95}",25,0,-250.41310629843136,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 1, 'e': 0.9025}",30,0,-153.64169601674988,"{0: 14, 1: 3, 2: 12, 3: 0, 4: 1}",0
3,False,"{'a': 1, 'e': 0.8573749999999999}",25,0,-133.4454470552149,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 1, 'e': 0.8145062499999999}",20,8,-32.16035557839921,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 1, 'e': 0.7737809374999998}",25,0,-50.27218367604746,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 1, 'e': 0.7350918906249998}",35,0,-321.08707799084465,"{0: 15, 1: 4, 2: 10, 3: 1, 4: 5}",0
7,False,"{'a': 1, 'e': 0.6983372960937497}",20,1,-61.68280070736743,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 1, 'e': 0.6634204312890623}",35,17,-15.918503182366848,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 1, 'e': 0.6302494097246091}",20,0,-2.1949280090670023,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 1, 'e': 0.5987369392383787}",20,0,-49.69413075373087,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 1, 'e': 0.5688000922764597}",20,0,-86.77991244026518,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 1, 'e': 0.5403600876626367}",25,0,-41.11477884284484,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 1, 'e': 0.5133420832795048}",25,16,-5.816134428009406,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
