trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.95}",20,0,-154.64444718299606,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 1, 'e': 0.9025}",20,0,-173.99440030365412,"{0: 6, 1: 2, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 1, 'e': 0.8573749999999999}",20,2,-59.279855437033376,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
4,False,"{'a': 1, 'e': 0.8145062499999999}",25,0,-151.23612368733433,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 1, 'e': 0.7737809374999998}",20,0,-231.8128412709564,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 4}",0
6,False,"{'a': 1, 'e': 0.7350918906249998}",25,13,-32.169151020401856,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 1, 'e': 0.6983372960937497}",20,2,-101.5682722916104,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 1, 'e': 0.6634204312890623}",20,0,-76.35986620601481,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 1, 'e': 0.6302494097246091}",25,0,-95.113157353322,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 1, 'e': 0.5987369392383787}",35,18,-135.8808130795374,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 3}",1
11,False,"{'a': 1, 'e': 0.5688000922764597}",25,12,-76.58767323164011,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 1, 'e': 0.5403600876626367}",30,22,1.2608782664580616,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 1, 'e': 0.5133420832795048}",25,0,-73.77325878266728,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 1, 'e': 0.48767497911552954}",30,2,-62.2328840304398,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 1}",1
