trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-131.48203536851426,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",30,0,-303.42091527215433,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",30,0,-184.22074775019487,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",30,0,-85.20183731525422,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",30,0,-265.10117095057984,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,1,-126.73075550742676,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,2,-86.94723145676066,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-87.02961005752107,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-93.3618481874588,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",25,0,-8.01765182248377,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,0,-53.30181836505033,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,0,-87.47623248214157,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,6,-14.194737937620664,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-98.94818697383074,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",25,0,-27.876837846828057,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",35,0,-61.33117617917282,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,0,-34.653081858731994,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",25,0,-43.75670678921696,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,12,-27.4921888876861,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",25,0,-33.79487580193155,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.3405616262881148}",20,0,-30.402637169489957,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.323533544973709}",25,0,-52.185185419604025,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",25,0,23.22011819386246,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",25,0,15.691032338430004,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",20,0,-4.589855764882053,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,0,-53.12999741876409,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",20,0,-10.533951430589232,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",30,0,-69.9594592394254,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",30,0,-69.96432566535769,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",25,0,-1.76672175072039,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",20,0,-24.02846233194725,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",20,0,22.96461431138096,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.18402591023557582}",30,20,21.122278483000088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.174824614723797}",30,3,-2.07331092872884,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",25,0,22.84249279610475,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.1577792147882268}",20,13,14.112614183431573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881545}",25,0,13.487665872366057,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.14239574134637467}",20,9,19.198080389663218,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.13527595427905592}",35,15,-7.300690563255243,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.12851215656510312}",25,0,24.57226829216376,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.12208654873684796}",30,9,30.12036795831376,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",25,2,15.580257128942423,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",25,0,34.442351293066665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",20,0,-25.444049620615587,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",25,0,34.45081776873612,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",25,14,16.12834117691768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085075}",25,0,37.38149115814412,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",30,0,17.666057054526018,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.0809947108175928}",25,0,35.771351222772,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.07694497527671315}",20,0,25.844734047844725,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.07309772651287749}",35,1,43.8209093492251,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.06944284018723361}",25,0,29.84262711381562,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.06597069817787193}",25,3,36.582809838085346,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06267216326897833}",30,17,24.18207764534748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.05953855510552941}",35,0,7.942095614701754,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.056561627350252934}",20,0,8.938439546726435,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.053733545982740286}",25,0,14.27497129553149,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.051046868683603266}",35,13,40.3972513511289,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.048494525249423104}",20,0,29.46320882659981,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,38.90072775934194,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,8,20.1700495589611,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,6,38.224747370082845,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,27.03467548995057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,28.594895743955977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,33.061752238779604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,7,32.684732077516614,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,4,27.626414830271532,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,33.31619944559381,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,16,31.70979587694998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,11,28.83669946686149,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
